version,label,size,avg_time_sec,median_time_sec,gflops,checksum
v2_cpp_baseline,C++基础版,512,0.429082597,0.428885458,0.6256032238939767,-6740.486084331
v3_cpp_loop_reorder,调整循环顺序,512,0.152245931,0.152158,1.763169985804087,-6740.486084331
v4_cpp_optimized,编译优化(-O3),512,0.017831625333333333,0.017834834,15.053897274198748,-6740.486084331
v5_cpp_unrolled,循环展开,512,0.017904431,0.017875584,14.992682872748095,-6740.486084331
v2_cpp_baseline,C++基础版,768,0.9075175833333333,0.906127292,0.9982943368131252,36258.144926123
v3_cpp_loop_reorder,调整循环顺序,768,0.513444736,0.513559416,1.7644930417594156,36258.144926123
v4_cpp_optimized,编译优化(-O3),768,0.060519625,0.060570208,14.969849267902767,36258.144926123
v5_cpp_unrolled,循环展开,768,0.060526749666666664,0.060497708,14.968087151372945,36258.144926123
v2_cpp_baseline,C++基础版,1024,3.7137909723333333,3.70672875,0.5782456966474772,48910.950599938
v3_cpp_loop_reorder,调整循环顺序,1024,1.2130933053333333,1.212954292,1.7702543065390304,48910.950599938
v4_cpp_optimized,编译优化(-O3),1024,0.14281784733333333,0.142968459,15.036521611951104,48910.950599938
v5_cpp_unrolled,循环展开,1024,0.143301028,0.143343875,14.98582165090958,48910.950599938
