H,W,stride,kernel,kernel_id,block_x,block_y,avg_kernel_time_ms,num_runs,status,gflops,memory_usage_mb,checksum,correct,im2col_time_ms,gemm_time_ms,H_out,W_out,block_dim,grid_dim,padding
32,32,1,naive_conv,1,8,8,0.009899,3,ok,16.2000,0.02,20132.7285,true,0.000000,0.000000,32,32,8x8,4x4x3,1
32,32,1,naive_conv,1,16,16,0.00992,3,ok,17.8759,0.02,20132.7285,true,0.000000,0.000000,32,32,16x16,2x2x3,1
32,32,1,naive_conv,1,32,32,0.009216,3,ok,18.0000,0.02,20132.7285,true,0.000000,0.000000,32,32,32x32,1x1x3,1
32,32,1,tiled_conv,2,0,0,0.009216,3,ok,18.0000,0.02,20132.7285,true,0.000000,0.000000,32,32,16x16,2x2x3,1
32,32,1,im2col_gemm,3,0,0,0.02224,3,ok,7.7143,0.14,20132.7285,true,0.015360,0.006144,32,32,32x32,32x1x1,1
32,32,1,cudnn,4,0,0,0.037205,3,ok,4.9091,0.02,20132.7285,true,0.000000,0.000000,32,32,0x0,0x0x1,1
32,32,2,naive_conv,1,8,8,0.009557,3,ok,4.0500,0.02,5079.5620,true,0.000000,0.000000,16,16,8x8,2x2x3,1
32,32,2,naive_conv,1,16,16,0.008864,3,ok,4.6286,0.02,5079.5620,true,0.000000,0.000000,16,16,16x16,1x1x3,1
32,32,2,naive_conv,1,32,32,0.008533,3,ok,5.0625,0.02,5079.5620,true,0.000000,0.000000,16,16,32x32,1x1x3,1
32,32,2,tiled_conv,2,0,0,0.011264,3,ok,3.6818,0.02,5079.5620,true,0.000000,0.000000,16,16,16x16,1x1x3,1
32,32,2,im2col_gemm,3,0,0,0.020768,3,ok,2.0409,0.04,5079.5620,true,0.015200,0.005120,16,16,16x16,16x1x1,1
32,32,2,cudnn,4,0,0,0.035488,3,ok,1.2273,0.02,5079.5620,true,0.000000,0.000000,16,16,0x0,0x0x1,1
32,32,3,naive_conv,1,8,8,0.009557,3,ok,2.1270,0.01,2326.7695,true,0.000000,0.000000,11,11,8x8,2x2x3,1
32,32,3,naive_conv,1,16,16,0.009536,3,ok,2.1270,0.01,2326.7695,true,0.000000,0.000000,11,11,16x16,1x1x3,1
32,32,3,naive_conv,1,32,32,0.009152,3,ok,2.1270,0.01,2326.7695,true,0.000000,0.000000,11,11,32x32,1x1x3,1
32,32,3,tiled_conv,2,0,0,0.010923,3,ok,1.9143,0.01,2326.7695,true,0.000000,0.000000,11,11,16x16,1x1x3,1
32,32,3,im2col_gemm,3,0,0,0.019424,3,ok,1.0075,0.03,2326.7695,true,0.015360,0.004096,11,11,16x16,8x1x1,1
32,32,3,cudnn,4,0,0,0.034709,3,ok,0.5839,0.01,2326.7695,true,0.000000,0.000000,11,11,0x0,0x0x1,1
64,64,1,naive_conv,1,8,8,0.009877,3,ok,65.2075,0.10,82062.1016,true,0.000000,0.000000,64,64,8x8,8x8x3,1
64,64,1,naive_conv,1,16,16,0.010581,3,ok,58.9091,0.10,82062.1016,true,0.000000,0.000000,64,64,16x16,4x4x3,1
64,64,1,naive_conv,1,32,32,0.011605,3,ok,54.0000,0.10,82062.1016,true,0.000000,0.000000,64,64,32x32,2x2x3,1
64,64,1,tiled_conv,2,0,0,0.010603,3,ok,64.8000,0.10,82062.1016,true,0.000000,0.000000,64,64,16x16,4x4x3,1
64,64,1,im2col_gemm,3,0,0,0.028939,3,ok,22.3448,0.54,82062.1016,true,0.021504,0.008192,64,64,32x32,128x1x1,1
64,64,1,cudnn,4,0,0,0.041909,3,ok,14.4000,0.10,82062.1016,true,0.000000,0.000000,64,64,0x0,0x0x1,1
64,64,2,naive_conv,1,8,8,0.008875,3,ok,18.0000,0.06,20599.3828,true,0.000000,0.000000,32,32,8x8,4x4x3,1
64,64,2,naive_conv,1,16,16,0.008821,3,ok,20.2500,0.06,20599.3828,true,0.000000,0.000000,32,32,16x16,2x2x3,1
64,64,2,naive_conv,1,32,32,0.009536,3,ok,18.0000,0.06,20599.3828,true,0.000000,0.000000,32,32,32x32,1x1x3,1
64,64,2,tiled_conv,2,0,0,0.011584,3,ok,14.7692,0.06,20599.3828,true,0.000000,0.000000,32,32,16x16,2x2x3,1
