version,进程数/矩阵规模,128,256,512,1024,2048
mpi_v1_p2p,1,0.001177,0.011287,0.123033,0.997698,23.445053
mpi_v1_p2p,2,0.001498,0.007631,0.062969,0.609451,19.172559
mpi_v1_p2p,4,0.002498,0.005527,0.048867,1.121589,15.619476
mpi_v1_p2p,8,0.002122,0.011580,0.058667,0.923542,13.665170
mpi_v1_p2p,16,0.003388,0.008727,0.057792,1.112545,12.829863
mpi_v2_collective,1,0.001708,0.013417,0.121091,0.953602,21.418602
mpi_v2_collective,2,0.002042,0.006185,0.062853,0.636073,20.577133
mpi_v2_collective,4,0.004559,0.009002,0.051294,0.694170,15.334143
mpi_v2_collective,8,0.005485,0.009875,0.064415,1.165934,12.784246
mpi_v2_collective,16,0.015383,0.013878,0.084111,0.968709,10.901446
