experiment,version,status,threads,time_sec,m,n,k,length
pthreads_matmul,v1_row_block,ok,1,0.001149306,128,128,128,
pthreads_matmul,v1_row_block,ok,1,0.011245528,256,256,256,
pthreads_matmul,v1_row_block,ok,1,0.120679889,512,512,512,
pthreads_matmul,v1_row_block,ok,1,1.037385208,1024,1024,1024,
pthreads_matmul,v1_row_block,ok,1,27.559591264,2048,2048,2048,
pthreads_matmul,v1_row_block,ok,2,0.000601917,128,128,128,
pthreads_matmul,v1_row_block,ok,2,0.005933250,256,256,256,
pthreads_matmul,v1_row_block,ok,2,0.061191986,512,512,512,
pthreads_matmul,v1_row_block,ok,2,0.585630528,1024,1024,1024,
pthreads_matmul,v1_row_block,ok,2,22.562979319,2048,2048,2048,
pthreads_matmul,v1_row_block,ok,4,0.000428153,128,128,128,
pthreads_matmul,v1_row_block,ok,4,0.003980347,256,256,256,
pthreads_matmul,v1_row_block,ok,4,0.049746306,512,512,512,
pthreads_matmul,v1_row_block,ok,4,0.562691597,1024,1024,1024,
pthreads_matmul,v1_row_block,ok,4,14.560628194,2048,2048,2048,
pthreads_matmul,v1_row_block,ok,8,0.000526459,128,128,128,
pthreads_matmul,v1_row_block,ok,8,0.003663181,256,256,256,
pthreads_matmul,v1_row_block,ok,8,0.039623694,512,512,512,
pthreads_matmul,v1_row_block,ok,8,0.745345708,1024,1024,1024,
pthreads_matmul,v1_row_block,ok,8,10.897376694,2048,2048,2048,
pthreads_matmul,v1_row_block,ok,16,0.000487264,128,128,128,
pthreads_matmul,v1_row_block,ok,16,0.003055861,256,256,256,
pthreads_matmul,v1_row_block,ok,16,0.034009819,512,512,512,
pthreads_matmul,v1_row_block,ok,16,0.506866445,1024,1024,1024,
pthreads_matmul,v1_row_block,ok,16,9.176108514,2048,2048,2048,
pthreads_matmul,v2_cyclic_rows,ok,1,0.001922472,128,128,128,
pthreads_matmul,v2_cyclic_rows,ok,1,0.018182167,256,256,256,
pthreads_matmul,v2_cyclic_rows,ok,1,0.153768041,512,512,512,
pthreads_matmul,v2_cyclic_rows,ok,1,1.020302986,1024,1024,1024,
pthreads_matmul,v2_cyclic_rows,ok,1,23.451565264,2048,2048,2048,
pthreads_matmul,v2_cyclic_rows,ok,2,0.000609653,128,128,128,
pthreads_matmul,v2_cyclic_rows,ok,2,0.005693444,256,256,256,
pthreads_matmul,v2_cyclic_rows,ok,2,0.062050278,512,512,512,
pthreads_matmul,v2_cyclic_rows,ok,2,0.728857597,1024,1024,1024,
pthreads_matmul,v2_cyclic_rows,ok,2,21.883671125,2048,2048,2048,
pthreads_matmul,v2_cyclic_rows,ok,4,0.000481361,128,128,128,
pthreads_matmul,v2_cyclic_rows,ok,4,0.004220472,256,256,256,
pthreads_matmul,v2_cyclic_rows,ok,4,0.050761472,512,512,512,
pthreads_matmul,v2_cyclic_rows,ok,4,0.528562889,1024,1024,1024,
pthreads_matmul,v2_cyclic_rows,ok,4,14.095533653,2048,2048,2048,
pthreads_matmul,v2_cyclic_rows,ok,8,0.000447083,128,128,128,
pthreads_matmul,v2_cyclic_rows,ok,8,0.003152166,256,256,256,
pthreads_matmul,v2_cyclic_rows,ok,8,0.035635194,512,512,512,
pthreads_matmul,v2_cyclic_rows,ok,8,0.521628861,1024,1024,1024,
pthreads_matmul,v2_cyclic_rows,ok,8,12.374853486,2048,2048,2048,
pthreads_matmul,v2_cyclic_rows,ok,16,0.000515402,128,128,128,
pthreads_matmul,v2_cyclic_rows,ok,16,0.003118820,256,256,256,
pthreads_matmul,v2_cyclic_rows,ok,16,0.033050125,512,512,512,
pthreads_matmul,v2_cyclic_rows,ok,16,0.604704389,1024,1024,1024,
pthreads_matmul,v2_cyclic_rows,ok,16,10.076905264,2048,2048,2048,
pthreads_array_sum,v1_local_sum,ok,1,0.000984417,,,,1000000
pthreads_array_sum,v1_local_sum,ok,1,0.001944917,,,,2000000
pthreads_array_sum,v1_local_sum,ok,1,0.003896194,,,,4000000
pthreads_array_sum,v1_local_sum,ok,1,0.007557417,,,,8000000
pthreads_array_sum,v1_local_sum,ok,1,0.015023139,,,,16000000
pthreads_array_sum,v1_local_sum,ok,1,0.022975597,,,,32000000
pthreads_array_sum,v1_local_sum,ok,1,0.042189583,,,,64000000
pthreads_array_sum,v1_local_sum,ok,1,0.080916222,,,,128000000
pthreads_array_sum,v1_local_sum,ok,2,0.000349403,,,,1000000
pthreads_array_sum,v1_local_sum,ok,2,0.000755653,,,,2000000
pthreads_array_sum,v1_local_sum,ok,2,0.001205903,,,,4000000
pthreads_array_sum,v1_local_sum,ok,2,0.002351000,,,,8000000
