version,threads,128,256,512,1024,2048
v1_row_block,1,0.001149306,0.011245528,0.120679889,1.037385208,27.559591264
v1_row_block,2,0.000601917,0.00593325,0.061191986,0.585630528,22.562979319
v1_row_block,4,0.000428153,0.003980347,0.049746306,0.562691597,14.560628194
v1_row_block,8,0.000526459,0.003663181,0.039623694,0.745345708,10.897376694
v1_row_block,16,0.000487264,0.003055861,0.034009819,0.506866445,9.176108514
v2_cyclic_rows,1,0.001922472,0.018182167,0.153768041,1.020302986,23.451565264
v2_cyclic_rows,2,0.000609653,0.005693444,0.062050278,0.728857597,21.883671125
v2_cyclic_rows,4,0.000481361,0.004220472,0.050761472,0.528562889,14.095533653
v2_cyclic_rows,8,0.000447083,0.003152166,0.035635194,0.521628861,12.374853486
v2_cyclic_rows,16,0.000515402,0.00311882,0.033050125,0.604704389,10.076905264
