backend,version,threads,512,1024,2048
openmp,openmp_default,1,0.138918,1.024730,24.342917
openmp,openmp_default,2,0.102224,0.804205,22.613539
openmp,openmp_default,3,0.069709,0.612667,18.162292
openmp,openmp_default,4,0.088794,1.839971,16.466339
openmp,openmp_default,5,0.059418,0.694195,14.346109
openmp,openmp_default,6,0.063427,1.289641,12.570952
openmp,openmp_default,7,0.045195,0.540859,15.011752
openmp,openmp_default,8,0.059210,0.795630,13.349427
openmp,openmp_static1,1,0.265303,3.049592,27.851993
openmp,openmp_static1,2,0.123182,0.931087,26.722369
openmp,openmp_static1,3,0.171408,1.409699,20.472275
openmp,openmp_static1,4,0.068043,0.632311,14.156829
openmp,openmp_static1,5,0.060301,0.629514,19.969941
openmp,openmp_static1,6,0.065815,0.624156,19.622888
openmp,openmp_static1,7,0.089054,0.818053,15.376086
openmp,openmp_static1,8,0.066377,0.887262,13.474975
openmp,openmp_dynamic1,1,0.459635,1.455215,29.822172
openmp,openmp_dynamic1,2,0.079866,0.553316,28.362545
openmp,openmp_dynamic1,3,0.076105,0.620480,20.493371
openmp,openmp_dynamic1,4,0.064236,0.632219,14.255048
openmp,openmp_dynamic1,5,0.062859,0.661038,15.303201
openmp,openmp_dynamic1,6,0.113222,1.658638,20.558263
openmp,openmp_dynamic1,7,0.050722,0.523223,18.148479
openmp,openmp_dynamic1,8,0.105948,1.800915,18.871055
pthreads_parallel_for,parallel_for_row_block,1,0.174839,1.000138,28.346498
pthreads_parallel_for,parallel_for_row_block,2,0.132888,1.260243,25.366043
pthreads_parallel_for,parallel_for_row_block,3,0.208437,1.615321,29.589568
pthreads_parallel_for,parallel_for_row_block,4,0.104904,1.106415,27.439742
pthreads_parallel_for,parallel_for_row_block,5,0.149808,3.015027,32.219563
pthreads_parallel_for,parallel_for_row_block,6,0.198491,2.761822,32.484715
pthreads_parallel_for,parallel_for_row_block,7,0.265645,2.748413,19.043241
pthreads_parallel_for,parallel_for_row_block,8,0.080267,0.982696,16.318438
