experiment,backend,version,status,threads,avg_time_sec,m,n,epsilon,schedule,iterations,thread1_checksum_match,openmp_reference_match
heated_plate,openmp,openmp_original,ok,1,0.000991125,64,64,0.1,openmp_default,179,True,True
heated_plate,openmp,openmp_original,ok,1,0.012307709,128,128,0.1,openmp_default,181,True,True
heated_plate,openmp,openmp_original,ok,1,0.019529583,256,256,0.1,openmp_default,181,True,True
heated_plate,openmp,openmp_original,ok,2,0.000622541,64,64,0.1,openmp_default,179,True,True
heated_plate,openmp,openmp_original,ok,2,0.001908708,128,128,0.1,openmp_default,181,True,True
heated_plate,openmp,openmp_original,ok,2,0.008795833,256,256,0.1,openmp_default,181,True,True
heated_plate,openmp,openmp_original,ok,4,0.001250083,64,64,0.1,openmp_default,179,True,True
heated_plate,openmp,openmp_original,ok,4,0.003000375,128,128,0.1,openmp_default,181,True,True
heated_plate,openmp,openmp_original,ok,4,0.021400000,256,256,0.1,openmp_default,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_block,ok,1,0.021965834,64,64,0.1,block,179,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_block,ok,1,0.028203708,128,128,0.1,block,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_block,ok,1,0.045496750,256,256,0.1,block,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_block,ok,2,0.034405875,64,64,0.1,block,179,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_block,ok,2,0.024976125,128,128,0.1,block,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_block,ok,2,0.029151375,256,256,0.1,block,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_block,ok,4,0.049323167,64,64,0.1,block,179,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_block,ok,4,0.062238792,128,128,0.1,block,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_block,ok,4,0.070880917,256,256,0.1,block,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_cyclic,ok,1,0.020597833,64,64,0.1,cyclic,179,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_cyclic,ok,1,0.035282000,128,128,0.1,cyclic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_cyclic,ok,1,0.028282041,256,256,0.1,cyclic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_cyclic,ok,2,0.024880750,64,64,0.1,cyclic,179,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_cyclic,ok,2,0.030628000,128,128,0.1,cyclic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_cyclic,ok,2,0.031942167,256,256,0.1,cyclic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_cyclic,ok,4,0.053118750,64,64,0.1,cyclic,179,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_cyclic,ok,4,0.041440625,128,128,0.1,cyclic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_cyclic,ok,4,0.050681167,256,256,0.1,cyclic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_dynamic,ok,1,0.027286959,64,64,0.1,dynamic,179,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_dynamic,ok,1,0.041871000,128,128,0.1,dynamic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_dynamic,ok,1,0.045003708,256,256,0.1,dynamic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_dynamic,ok,2,0.037780084,64,64,0.1,dynamic,179,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_dynamic,ok,2,0.033584417,128,128,0.1,dynamic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_dynamic,ok,2,0.055894125,256,256,0.1,dynamic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_dynamic,ok,4,0.068716416,64,64,0.1,dynamic,179,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_dynamic,ok,4,0.062816125,128,128,0.1,dynamic,181,True,True
heated_plate,pthreads_parallel_for,pthreads_parallel_for_dynamic,ok,4,0.042230583,256,256,0.1,dynamic,181,True,True
