experiment,backend,n,num_procs,status,avg_time_sec,avg_error,avg_mflops,checksum
fft,serial,64,1,ok,0.000343333,1.362650635e-16,11187.597,4092.263709
fft,serial,128,1,ok,0.000703667,1.996499792e-16,12734.432,16760.474322
fft,serial,256,1,ok,0.000168000,1.713181578e-16,12192.477,63836.496628
fft,serial,512,1,ok,0.000346000,2.075142822e-16,13320.637,262229.538686
fft,serial,1024,1,ok,0.000797333,2.313624432e-16,12843.898,1047275.769000
fft,serial,2048,1,ok,0.001636333,2.430953949e-16,13768.968,4223727.273120
fft,serial,4096,1,ok,0.000463333,2.582536894e-16,10617.764,16929186.277300
fft,serial,8192,1,ok,0.001157667,2.871423008e-16,9199.432,67578548.560100
fft,mpi,64,2,ok,0.005088000,1.362650635e-16,754.761,4092.263709
fft,mpi,64,4,ok,0.012752333,1.362650635e-16,301.198,4092.263709
fft,mpi,64,8,ok,0.043756333,1.362650635e-16,87.762,4092.263709
fft,mpi,128,2,ok,0.007680333,1.996499792e-16,1170.450,16760.474322
fft,mpi,128,4,ok,0.017665333,1.996499792e-16,508.400,16760.474322
fft,mpi,128,8,ok,0.062822000,1.996499792e-16,142.674,16760.474322
fft,mpi,256,2,ok,0.001453667,1.713181578e-16,1410.429,63836.496628
fft,mpi,256,4,ok,0.003786333,1.713181578e-16,544.508,63836.496628
fft,mpi,256,8,ok,0.013534333,1.713181578e-16,152.796,63836.496628
fft,mpi,512,2,ok,0.002630000,2.075142822e-16,1754.277,262229.538686
fft,mpi,512,4,ok,0.006018000,2.075142822e-16,766.888,262229.538686
fft,mpi,512,8,ok,0.019429333,2.075142822e-16,237.240,262229.538686
fft,mpi,1024,2,ok,0.005399333,2.313624432e-16,1897.372,1047275.769000
fft,mpi,1024,4,ok,0.015155333,2.313624432e-16,727.229,1047275.769000
fft,mpi,1024,8,ok,0.033021333,2.313624432e-16,310.320,1047275.769000
fft,mpi,2048,2,ok,0.009745000,2.430953949e-16,2312.247,4223727.273120
fft,mpi,2048,4,ok,0.021082333,2.430953949e-16,1068.684,4223727.273120
fft,mpi,2048,8,ok,0.061331333,2.430953949e-16,368.260,4223727.273120
fft,mpi,4096,2,ok,0.001979667,2.582536894e-16,2493.760,16929186.277300
fft,mpi,4096,4,ok,0.004221333,2.582536894e-16,1189.995,16929186.277300
fft,mpi,4096,8,ok,0.010712667,2.582536894e-16,458.929,16929186.277300
fft,mpi,8192,2,ok,0.003992000,2.871423008e-16,2669.529,67578548.560100
fft,mpi,8192,4,ok,0.009329333,2.871423008e-16,1141.874,67578548.560100
fft,mpi,8192,8,ok,0.021317000,2.871423008e-16,501.705,67578548.560100
