dataset,backend,num_nodes,num_edges,num_threads,status,avg_time_sec,checksum
flower,serial,930,13521,1,ok,0.021847,6240280.000000
flower,openmp,930,13521,1,ok,0.023223,6240280.000000
flower,openmp,930,13521,2,ok,0.012068,6240280.000000
flower,openmp,930,13521,4,ok,0.007132,6240280.000000
flower,openmp,930,13521,8,ok,0.004912,6240280.000000
flower,openmp,930,13521,16,ok,0.004439,6240280.000000
mouse,serial,525,14691,1,ok,0.024937,1416420.000000
mouse,openmp,525,14691,1,ok,0.026549,1416420.000000
mouse,openmp,525,14691,2,ok,0.013603,1416420.000000
mouse,openmp,525,14691,4,ok,0.007017,1416420.000000
mouse,openmp,525,14691,8,ok,0.004610,1416420.000000
mouse,openmp,525,14691,16,ok,0.003713,1416420.000000
